CensusTract,State,County,LILATracts_1And10,LILATracts_halfAnd10,LowIncomeTracts,LA1and10,LAhalfand10,PovertyRate,MedianFamilyIncome,lapop1share
48029180400,Texas,Bexar County,0,1,1,0,1,27.574611181168603,38162.0,0.11872653702006901
48029180501,Texas,Bexar County,0,1,1,0,1,25.646897183421103,39792.0,
48029180503,Texas,Bexar County,0,0,0,1,1,16.6566686662667,60945.0,45.3182479225253
48029180504,Texas,Bexar County,1,1,1,1,1,28.7265758091993,42591.0,91.31430890971049
48029180602,Texas,Bexar County,0,1,1,0,1,16.1119293078056,54963.0,
48029180603,Texas,Bexar County,0,0,0,0,0,15.3952205882353,67000.0,
48029180604,Texas,Bexar County,0,1,1,0,1,20.8786364972083,66837.0,
48029180701,Texas,Bexar County,0,0,0,1,1,14.6238821672804,90990.0,27.3829598572912
48029180702,Texas,Bexar County,0,1,1,0,1,26.201002063070998,62540.0,2.94082412663893
48029180800,Texas,Bexar County,0,0,1,0,0,28.484602917342,39844.0,
48029180901,Texas,Bexar County,0,1,1,0,1,14.3323065772785,55938.0,
48029180902,Texas,Bexar County,0,1,1,0,1,30.7056086844146,36151.0,
48029181001,Texas,Bexar County,0,0,0,0,1,15.806896551724101,65938.0,
48029181003,Texas,Bexar County,0,1,1,0,1,37.246397089688,33361.0,
48029181004,Texas,Bexar County,0,1,1,0,1,25.7347400150716,45707.0,
48029181005,Texas,Bexar County,0,1,1,0,1,20.5212550607287,41417.0,
48029181100,Texas,Bexar County,0,0,0,0,1,13.2852564102564,78250.0,3.8831648601437703
48029181200,Texas,Bexar County,0,0,0,1,1,9.71871968962173,92409.0,17.1567825728721
48029181301,Texas,Bexar County,0,0,0,1,1,17.5498819995709,66104.0,55.7713480231951
48029181302,Texas,Bexar County,0,0,0,1,1,12.850789756172402,58994.0,34.575273803571896
48029181303,Texas,Bexar County,0,1,1,0,1,41.8203592814371,31250.0,0.0
48029181402,Texas,Bexar County,1,1,1,1,1,41.5102389078498,38295.0,41.6333435978134
48029181403,Texas,Bexar County,0,0,0,1,1,7.17025671289466,61146.0,21.418050649214802
48029181404,Texas,Bexar County,0,0,0,1,1,10.86578581363,65592.0,19.5134490924877
48029181503,Texas,Bexar County,0,1,1,0,1,15.0249540320462,50440.0,5.971044679742301
48029181504,Texas,Bexar County,1,1,1,1,1,12.9398769133659,55736.0,12.1505865316871
48029181505,Texas,Bexar County,0,0,0,1,1,7.07623682076237,77305.0,64.3616683559193
48029181506,Texas,Bexar County,1,1,1,1,1,16.2231559290383,51698.0,43.174694466951905
48029181601,Texas,Bexar County,0,0,1,0,0,20.121951219512198,52500.0,
48029181602,Texas,Bexar County,1,1,1,1,1,18.0452397029034,40772.0,9.78543046344021
48029181703,Texas,Bexar County,0,0,0,1,1,16.2649857866766,86779.0,10.9509262308838
48029181704,Texas,Bexar County,0,0,0,1,1,19.2169146436962,61768.0,66.04473856818261
48029181705,Texas,Bexar County,0,0,0,1,1,9.11764705882353,60998.0,55.5365303822971
48029181711,Texas,Bexar County,0,0,0,0,1,8.875739644970409,87868.0,5.79929289283748
48029181712,Texas,Bexar County,0,0,0,0,1,6.54425612052731,83088.0,5.8028921223660195
48029181713,Texas,Bexar County,0,0,0,1,1,18.1098339719029,70884.0,28.263969372861602
48029181715,Texas,Bexar County,0,0,0,1,1,6.8839476088943,58697.0,57.4449408173954
48029181716,Texas,Bexar County,1,1,1,1,1,10.1268742791234,48354.0,57.1868511886714
48029181718,Texas,Bexar County,0,0,0,1,1,5.26315789473684,83223.0,36.8615177724676
48029181720,Texas,Bexar County,0,0,0,0,1,1.1916389919906198,119342.0,5.9401008122647
48029181721,Texas,Bexar County,0,0,0,1,1,2.18677643426807,119688.0,54.3683246457726
48029181722,Texas,Bexar County,0,0,0,1,1,2.77939747327502,93900.0,11.4076570897375
48029181723,Texas,Bexar County,0,0,0,1,1,6.012597824012221,67373.0,50.22310162243
48029181724,Texas,Bexar County,0,0,0,1,1,1.7850892544627202,106536.0,45.640806263837206
48029181725,Texas,Bexar County,1,1,1,1,1,12.703101920236302,49766.0,28.671334116599002
48029181726,Texas,Bexar County,0,0,0,1,1,6.12969538404037,82986.0,43.873292758313
48029181727,Texas,Bexar County,0,0,0,0,1,5.33018867924528,65313.0,2.93028352010732
48029181728,Texas,Bexar County,0,0,0,0,1,6.68851947241083,76590.0,2.02666267181216
48029181729,Texas,Bexar County,0,0,0,1,1,5.18617021276596,102930.0,50.101461509036305
48029181730,Texas,Bexar County,0,0,0,0,1,7.1280991735537205,63188.0,1.15480296554827
48029181731,Texas,Bexar County,0,0,0,1,1,5.79047619047619,103340.0,19.0854436494374
48029181808,Texas,Bexar County,1,1,1,1,1,24.0522875816993,95089.0,42.0007644193461
48029181809,Texas,Bexar County,0,0,0,1,1,13.4078212290503,64196.0,99.9999993341966
48029181811,Texas,Bexar County,0,0,0,1,1,5.87064676616915,78704.0,27.185459872573798
48029181813,Texas,Bexar County,0,0,0,1,1,18.228079331941498,68036.0,33.202936946403696
48029181814,Texas,Bexar County,0,0,0,1,1,16.0624905202487,71438.0,25.0161554820641
48029181815,Texas,Bexar County,0,0,0,1,1,8.60543179737565,97878.0,56.79252449908
48029181816,Texas,Bexar County,0,0,0,1,1,10.6073943661972,102891.0,48.1380772349377
48029181817,Texas,Bexar County,0,0,0,1,1,10.3438864628821,86429.0,21.811049797825
48029181818,Texas,Bexar County,0,0,0,0,1,8.40077695046941,78031.0,6.4779906219255405
48029181819,Texas,Bexar County,1,1,1,1,1,30.8597031643797,69375.0,50.512123379468
48029181820,Texas,Bexar County,1,1,1,1,1,47.4125093075205,64643.0,86.3991576330972
48029181821,Texas,Bexar County,0,0,0,1,1,8.83382709399407,84561.0,100.000000112234
48029181822,Texas,Bexar County,0,0,0,1,1,9.36186473060757,81055.0,16.192849535318498
48029181823,Texas,Bexar County,1,1,1,1,1,36.5401332946972,60163.0,99.9999973131624
48029181824,Texas,Bexar County,0,0,0,1,1,17.1093973150528,93462.0,73.3787841856362
48029181825,Texas,Bexar County,0,0,0,0,1,8.25707154742096,88980.0,
48029181826,Texas,Bexar County,0,0,0,1,1,6.65914221218962,87969.0,88.3616535026033
48029181901,Texas,Bexar County,1,1,1,1,1,32.3647120236645,120341.0,67.4920887402877
48029181902,Texas,Bexar County,0,0,0,0,0,4.86300557466493,156528.0,69.5358228602223
48029182001,Texas,Bexar County,0,0,0,1,1,5.11858044702269,124968.0,43.3991342674726
48029182002,Texas,Bexar County,0,0,0,0,0,2.52892392751101,147124.0,75.3266603500886
48029182003,Texas,Bexar County,0,0,0,1,1,6.78820791311094,145966.0,100.00000104589199
48029182101,Texas,Bexar County,0,0,0,1,1,3.74301675977654,128634.0,97.6873611157785
48029182102,Texas,Bexar County,0,0,0,1,1,7.09847036328872,122558.0,67.0493386692531
48029182103,Texas,Bexar County,0,0,0,0,0,5.78401872283517,127762.0,100.00000205088799
48029182105,Texas,Bexar County,0,0,0,0,0,3.09780717020536,123750.0,99.99999788309249
